Organisation Name,Section,Costs (Higher),Financial year: End Date
Research Institute of Organic Agriculture (FiBL) (FiBL),"IV - Think tanks, research and academic institutions",199999,01/12/2016
Agrupac„n Empresarial Innovadora de Fabricantes de Muebles y Afines de la Regi„n de Murcia (AMUEBLA),II - In-house lobbyists and trade/business/professional associations,50114,01/12/2016
Federazione Italiana Giuoco Calcio (F.I.G.C.),II - In-house lobbyists and trade/business/professional associations,99999,01/12/2016
European Travel Retail Confederation (ETRC),II - In-house lobbyists and trade/business/professional associations,350000,01/12/2016
Nutreco,II - In-house lobbyists and trade/business/professional associations,9999,01/12/2016
European Interreligious Forum for Religious Freedom (EIFRF),III - Non-governmental organisations,9999,01/12/2015
The New Europeans AISBL,III - Non-governmental organisations, -   ,
Irish Grain & Feed Association (IGFA),II - In-house lobbyists and trade/business/professional associations,24999,01/05/2017
DAKOFA,II - In-house lobbyists and trade/business/professional associations, -   ,
Cruelty Free International,III - Non-governmental organisations,24999,01/03/2016
ASOCIACIÓN DE LA INDUSTRIA ALIMENTARIA DE CASTILLA Y LEÓN (VITARTIS),II - In-house lobbyists and trade/business/professional associations,100000,01/12/2016
Energie Steiermark Business GmbH,II - In-house lobbyists and trade/business/professional associations,9999,01/12/2016
J T Environmental Consultants Ltd (JTEC),I - Professional consultancies/law firms/self-employed consultants, -   ,
Liberty Mutual Group (n/a),II - In-house lobbyists and trade/business/professional associations,499999,01/12/2016
Asociacion Empresarios Textiles de la Comunidad Valenciana (ATEVAL),II - In-house lobbyists and trade/business/professional associations,99999,01/12/2016
World Economic Forum,III - Non-governmental organisations,9999,01/06/2017
SPISE Working Group (SPISE WG),"IV - Think tanks, research and academic institutions",9999,01/12/2016
BENELUXVERENIGING VOOR MERKEN- EN MODELLENRECHT/ASSOCIATION BENELUX POUR LE DROIT DES MARQUES ET MODELES. (BMM),II - In-house lobbyists and trade/business/professional associations,199999,01/12/2016
Mehr Demokratie e.V.,III - Non-governmental organisations,9999,01/12/2016
Ohaha Family Foundation (OFF),III - Non-governmental organisations,9999,01/12/2015
GeoUnion Alfred-Wegener-Stiftung (GeoUnion),III - Non-governmental organisations,24999,01/12/2016
Olivia Lucia Gambelin,I - Professional consultancies/law firms/self-employed consultants, -   ,
GCE Subsea,III - Non-governmental organisations,24999,01/12/2016
Bees for Development (BfD),III - Non-governmental organisations,9999,01/04/2017
